Index,Solution treatment time (h),Solution treatment temperature (℃),Solution cooling way,Aging treatment time (h),Aging treatment temperature (℃),Aging cooling way,2nd aging treatment time (h),2nd aging treatment temperature (℃),2nd aging cooling way,Test temperature (℃),Test stress (MPa),Ti (mass%),Mo (mass%),Al (mass%),Sn (mass%),V (mass%),Zr (mass%),Nb+Ta (mass%),Fe (mass%),W (mass%),Si (mass%),Ni (mass%),B (mass%),Creep rupture life (h)
1,0,1019.85,2,0,699.85,2,0,0,0,600,550,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,16.99999999
2,0,1019.85,2,0,699.85,2,0,0,0,600,476,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,52.00000004
3,0,1019.85,2,0,699.85,2,0,0,0,600,355,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,279.9999998
4,0,1019.85,2,0,699.85,2,0,0,0,600,349,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,330.0000001
5,0,1019.85,2,0,699.85,2,0,0,0,600,295,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,835
6,0,1019.85,2,0,699.85,2,0,0,0,600,275,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,1059.999999
7,0,1019.85,2,0,699.85,2,0,0,0,600,195,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,4770
8,0,1019.85,2,0,699.85,2,0,0,0,625,400,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,31.50000002
9,0,1019.85,2,0,699.85,2,0,0,0,625,300,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,169.9999999
10,0,1019.85,2,0,699.85,2,0,0,0,625,277,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,319.9999998
11,0,1019.85,2,0,699.85,2,0,0,0,625,248,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,544.9999997
12,0,1019.85,2,0,699.85,2,0,0,0,625,173,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,2480.000001
13,0,1019.85,2,0,699.85,2,0,0,0,650,325,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,31.50000002
14,0,1019.85,2,0,699.85,2,0,0,0,650,298,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,64.5
15,0,1019.85,2,0,699.85,2,0,0,0,650,252,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,100
16,0,1019.85,2,0,699.85,2,0,0,0,650,223,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,197.9999999
17,0,1019.85,2,0,699.85,2,0,0,0,650,177,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,640
18,0,1019.85,2,0,699.85,2,0,0,0,650,150,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,1059.999999
19,0,1019.85,2,0,699.85,2,0,0,0,650,135,84.39,0.5,5.8,4,0,3.5,0.7,0,0,0.35,0.7,0,2500.000002
20,1,1070,2,50,610,2,0,0,0,600,450,84.44,0.4,5.8,4,0,3.5,1.4,0,0,0.4,0,0,52.00000004
21,1,1070,2,50,610,2,0,0,0,600,360,84.44,0.4,5.8,4,0,3.5,1.4,0,0,0.4,0,0,277
22,1,1070,2,2,770,2,50,610,2,600,450,84.44,0.4,5.8,4,0,3.5,1.4,0,0,0.4,0,0,39.99999997
23,1,1070,2,2,770,2,50,610,2,600,360,84.44,0.4,5.8,4,0,3.5,1.4,0,0,0.4,0,0,188.9999999
24,1,1070,2,2,770,2,0,0,0,600,450,84.44,0.4,5.8,4,0,3.5,1.4,0,0,0.4,0,0,39
25,1,1070,2,2,770,2,0,0,0,600,360,84.44,0.4,5.8,4,0,3.5,1.4,0,0,0.4,0,0,150
26,0,0,0,0,0,0,0,0,0,650,150,82.95,0.8,6,4,0,4,1,0,1,0.25,0,0,281.0000001
27,0,0,0,0,0,0,0,0,0,650,200,82.95,0.8,6,4,0,4,1,0,1,0.25,0,0,64.19999999
28,0,0,0,0,0,0,0,0,0,650,250,82.95,0.8,6,4,0,4,1,0,1,0.25,0,0,23.49999999
29,0,0,0,0,0,0,0,0,0,675,200,82.95,0.8,6,4,0,4,1,0,1,0.25,0,0,15.2
30,0,0,0,0,0,0,0,0,0,625,200,82.95,0.8,6,4,0,4,1,0,1,0.25,0,0,251.7000003
31,2,1080,2,2,700,2,0,0,0,650,220,85.13,0.5,6.04,3.98,0,3.2,0.6,0,0,0.31,0,0,118.9999999
32,2,1055,2,2,700,2,0,0,0,650,220,85.13,0.5,6.04,3.98,0,3.2,0.6,0,0,0.31,0,0,47.99999996
33,2,1040,2,2,700,2,0,0,0,650,220,85.13,0.5,6.04,3.98,0,3.2,0.6,0,0,0.31,0,0,39.99999997
34,2,1000,2,2,700,2,0,0,0,650,220,85.13,0.5,6.04,3.98,0,3.2,0.6,0,0,0.31,0,0,31.99999998
35,2,960,2,2,700,2,0,0,0,650,220,85.13,0.5,6.04,3.98,0,3.2,0.6,0,0,0.31,0,0,26.99999999
36,2,1080,2,2,700,2,0,0,0,650,220,85.19,0.51,5.97,3.42,0,3.5,0.73,0,0,0.46,0,0,220.0000001
37,2,1055,2,2,700,2,0,0,0,650,220,85.19,0.51,5.97,3.42,0,3.5,0.73,0,0,0.46,0,0,64
38,2,1045,2,2,700,2,0,0,0,650,220,85.19,0.51,5.97,3.42,0,3.5,0.73,0,0,0.46,0,0,55
39,2,1000,2,2,700,2,0,0,0,650,220,85.19,0.51,5.97,3.42,0,3.5,0.73,0,0,0.46,0,0,33.00000001
