class,[Mo]eq,Ti_test_temperature,test_stress,Ti_lg_RT
IMI834,-5.202,600,295,2.921686475
TC4-2,-2.94,475,300,2.875061263
IMI834,-5.202,650,177,2.806179974
IMI834,-5.202,625,248,2.736396502
Timetal834-12a,-5.202,600,250,2.658011397
IMI834,-5.202,600,349,2.51851394
IMI834,-5.202,625,277,2.505149978
Timetal834-5a,-5.202,600,300,2.484014963
as-cast,-4.62,650,150,2.44870632
IMI834,-5.202,600,355,2.447158031
Timetal834-24a,-5.202,600,250,2.447158031
Ti60_1#,-5.204,600,360,2.442479769
Timetal834 1,-5.13175,650,220,2.42975228
as-cast,-4.62,625,200,2.400883216
Timetal834-40a,-5.202,600,250,2.397940009
DMR834LF 1,-5.3143,650,220,2.342422681
IMI834,-5.202,650,223,2.29666519
Ti60_2#,-5.204,600,360,2.276461804
TC4-2,-2.94,500,300,2.267828542
Ti65,-4.766,650,240,2.241795431
IMI834,-5.202,625,300,2.230448921
TC4-2,-2.94,500,300,2.189546457
Ti60_4#,-5.204,600,360,2.176091259
TC4-2,-2.94,475,300,2.171228997
DMR834HF 1,-5.3864,650,220,2.075546961
Timetal834 2,-5.13175,650,220,2.068185862
Timetal834-12a,-5.202,600,300,2.041392685
Timetal834-24a,-5.202,600,300,2.012837225
Timetal834 3,-5.13175,650,220,2.008600172
IMI834,-5.202,650,252,2
Timetal834-5a,-5.202,600,350,1.949390007
Timetal834-40a,-5.202,600,300,1.892094603
Timetal834 4,-5.13175,650,220,1.851258349
IMI834,-5.202,650,298,1.809559715
as-cast,-4.62,650,200,1.807535028
DMR834LF 2,-5.3143,650,220,1.806179974
Timetal834-24a,-5.202,600,350,1.748188027
DMR834LF 3,-5.3143,650,220,1.740362689
IMI834,-5.202,600,476,1.716003344
Ti60_1#,-5.204,600,450,1.716003344
Timetal834-12a,-5.202,600,350,1.716003344
DMR834HF 2,-5.3864,650,220,1.681241237
TC4-2,-2.94,500,300,1.669037801
Ti60_2#,-5.204,600,450,1.602059991
DMR834HF 3,-5.3864,650,220,1.602059991
Ti60_4#,-5.204,600,450,1.591064607
Timetal834-40a,-5.202,600,350,1.579783597
Timetal834-5a,-5.202,600,400,1.574031268
DMR834LF 4,-5.3143,650,220,1.51851394
Timetal834 5,-5.13175,650,220,1.51851394
DMR834HF 4,-5.3864,650,220,1.505149978
IMI834,-5.202,625,400,1.498310554
IMI834,-5.202,650,325,1.498310554
Timetal834-12a,-5.202,600,400,1.477121255
TC4-2,-2.94,550,300,1.456517858
DMR834HF 5,-5.3864,650,220,1.431363764
as-cast,-4.62,650,250,1.371067862
TC4,-2.45,600,125,1.343802333
DMR834LF 5,-5.3143,650,220,1.322219295
Timetal834-24a,-5.202,600,400,1.322219295
Timetal834-40a,-5.202,600,400,1.278753601
IMI834,-5.202,600,550,1.230448921
as-cast,-4.62,675,200,1.181843588
TC4,-2.45,600,125,1.146128036
TC4-2,-2.94,550,300,0.884795364
TC4-2,-2.94,550,300,0.838219222
TC4-4,-0.3539,500,291,0.44870632
TC4-3,-2.6731,600,222,0.340444115
TC4-4,-0.3539,500,361,0.113609151
TC4,-2.45,600,250,0.089905111
TC4-3,-2.6731,600,250,-0.080921908
TC4,-2.45,600,250,-0.207608311
TC4-3,-2.6731,600,278,-0.468521083
TC4-4,-0.3539,600,97,-0.565431096
TC4,-2.45,600,319,-0.602059991
TC4-3,-2.6731,600,300,-0.721246399
TC4,-2.45,600,319,-0.769551079
TC4-4,-0.3539,500,465,-0.899629455
TC4-4,-0.3539,600,125,-0.978810701
TC4-4,-0.3539,500,520,-1.886056648
TC4-4,-0.3539,600,291,-2.55129368
TC4-4,-0.3539,600,319,-2.804100348
